Token;True_label;Predicted_label
собор;nomn;nomn
город;nomn;nomn
река;nomn;nomn
мосты;accs;accs
Летом;ablt;ablt
ночи;nomn;gent
год;accs;accs
город;nomn;nomn
императрица;nomn;nomn
университете;loct;loct
университет;nomn;nomn
семестр;accs;accs
зимой;ablt;n/a
сожалению;datv;datv
западе;loct;loct
магазин;accs;accs
магазин;accs;accs
минут;gent;gent
магазин;accs;accs
магазине;loct;loct
полчаса;accs;accs
магазина;gent;gent
минут;gent;gent
картину;accs;accs
часов;gent;gent
дня;gent;gent
выставке;loct;loct
часов;gent;gent
Летом;ablt;ablt
день;accs;accs
утра;gent;gent
Осенью;ablt;ablt
зимой;ablt;n/a
утра;gent;gent
часов;gent;gent
час;accs;accs
ночи;gent;gent
занятия;gent;gent
университете;loct;loct
утра;gent;gent
утром;ablt;n/a
кафе;loct;loct
утра;gent;gent
выходные;accs;accs
часов;gent;gent
будни;accs;accs
часов;gent;gent
вечера;gent;gent
выходные;accs;accs
часа;gent;gent
ночи;gent;gent
человек;nomn;nomn
будильника;gent;gent
часов;gent;gent
часов;gent;gent
рассказы;accs;nomn
рассказа;gent;gent
фильмы;nomn;nomn
кинотеатре;loct;loct
кинотеатре;loct;loct
фильм;nomn;nomn
ДЕНЬ;accs;accs
Привет;nomn;nomn
вебдизайнер;nomn;nomn
день;accs;accs
часов;gent;gent
утра;gent;gent
кашу;accs;accs
чай;nomn;nomn
минут;gent;gent
парке;datv;datv
собака;nomn;nomn
Шарик;nomn;nomn
раза;gent;gent
день;accs;accs
фрилансер;nomn;nomn
емейлы;nomn;nomn
Клиенты;nomn;nomn
письма;gent;gent
день;accs;accs
часов;gent;gent
кофе;accs;gent
булочку;accs;accs
телефону;datv;datv
Клиенты;nomn;nomn
Днём;ablt;ablt
обед;accs;accs
интернете;loct;loct
Шарик;nomn;nomn
обеда;gent;gent
диване;loct;loct
телевизор;accs;accs
парк;nomn;nomn
Шарик;nomn;nomn
диване;loct;loct
парке;datv;datv
веб;nomn;nomn
дизайнер;nomn;nomn
сайты;nomn;nomn
интернете;loct;loct
Вечером;ablt;n/a
парке;loct;datv
парка;gent;gent
магазин;accs;accs
продукты;accs;accs
интернете;loct;loct
магазин;accs;accs
час;accs;accs
ночи;gent;gent
погода;nomn;nomn
зимой;ablt;n/a
январе;loct;loct
ветер;nomn;nomn
снег;nomn;nomn
снега;gent;gent
севере;loct;loct
сожалению;datv;datv
счастью;datv;datv
зимой;ablt;n/a
снега;gent;gent
погода;nomn;nomn
ноябре;loct;loct
градусов;gent;gent
зиму;accs;accs
погода;nomn;nomn
ветер;nomn;nomn
ночью;ablt;n/a
утром;ablt;n/a
туман;nomn;nomn
Зима;nomn;nomn
снег;nomn;nomn
мороз;nomn;nomn
ночью;ablt;n/a
температура;nomn;nomn
градуса;gent;gent
Весна;nomn;nomn
апреле;loct;loct
конце;loct;loct
марта;gent;gent
Температура;nomn;nomn
мае;loct;loct
градусов;gent;gent
лето;accs;accs
летом;ablt;ablt
градусов;gent;gent
июне;loct;loct
грозы;nomn;nomn
сентябре;loct;loct
летом;ablt;ablt
погода;nomn;nomn
октябре;loct;loct
дожди;nomn;nomn
ноябре;loct;loct
морозы;nomn;nomn
снег;nomn;nomn
время;accs;accs
года;gent;gent
время;accs;accs
года;gent;gent
весна;nomn;nomn
весной;ablt;ablt
время;accs;accs
сакура;nomn;nomn
дерево;nomn;nomn
день;accs;accs
рождения;gent;gent
весной;ablt;ablt
Сакура;nomn;nomn
город;nomn;nomn
Оймякон;nomn;nomn
карте;loct;loct
Оймякон;nomn;nomn
холода;gent;gent
климат;nomn;nomn
Зимой;ablt;n/a
январе;loct;loct
морозы;nomn;nomn
Температура;nomn;nomn
градуса;gent;gent
летом;ablt;ablt
днём;ablt;ablt
градусов;gent;gent
ночью;ablt;n/a
градусов;gent;gent
Зимой;ablt;n/a
днём;ablt;ablt
часа;gent;gent
летом;ablt;ablt
ночи;nomn;gent
днём;ablt;ablt
ночью;ablt;n/a
жизни;gent;gent
Интернет;nomn;nomn
аэропорт;nomn;nomn
школа;nomn;nomn
больница;nomn;nomn
сад;nomn;nomn
школа;nomn;nomn
библиотека;nomn;nomn
музей;nomn;nomn
заправка;nomn;nomn
зал;accs;accs
магазины;nomn;nomn
год;accs;accs
весной;ablt;ablt
фестиваль;nomn;nomn
Деды;nomn;nomn
Морозы;nomn;nomn
мира;gent;gent
Оймякон;nomn;nomn
книгу;accs;accs
дня;gent;gent
пятницу;accs;accs
книгу;accs;accs
Ахмет;nomn;nomn
письма;accs;gent
Ахмет;nomn;nomn
письма;gent;gent
Сакура;nomn;nomn
продукты;accs;accs
Сакура;nomn;nomn
продукты;accs;accs
обед;accs;accs
Хуанита;gent;gent
слова;gent;gent
Хуанита;gent;gent
слова;gent;gent
текст;nomn;nomn
модели;nomn;gent
модели;nomn;gent
Вечером;ablt;n/a
биологией;ablt;ablt
учебник;accs;accs
лекции;gent;gent
экзамен;accs;accs
учебник;accs;accs
экзамен;accs;accs
Ахмет;nomn;nomn
отпуск;accs;accs
дела;gent;gent
письма;gent;gent
ответы;accs;accs
банк;accs;nomn
магазин;accs;accs
чемодан;nomn;nomn
году;loc2;loc2
раз;gent;gent
раз;gent;gent
город;nomn;nomn
город;nomn;nomn
князь;nomn;nomn
лет;gent;gent
царь;nomn;nomn
нём;loct;loct
царя;gent;gent
библиотека;nomn;nomn
книги;gent;gent
царь;nomn;nomn
библиотеку;accs;accs
Александрове;loct;loct
Её;gent;gent
лет;gent;gent
Мама;nomn;nomn
телефону;datv;datv
субботу;accs;accs
театр;nomn;nomn
язык;accs;accs
институте;loct;loct
гид;nomn;nomn
экскурсии;nomn;nomn
стадионе;loct;loct
парке;loct;datv
детстве;loct;loct
дизайнероммодельером;ablt;ablt
художником;ablt;ablt
художник;nomn;nomn
дизайнер;nomn;nomn
дизайнером;ablt;ablt
врачом;ablt;ablt
природу;accs;accs
детстве;loct;loct
биологом;ablt;ablt
школе;loct;loct
история;nomn;nomn
историком;ablt;ablt
университете;loct;loct
историю;accs;accs
искусством;ablt;ablt
архитектурой;ablt;ablt
профессия;nomn;nomn
гидом;ablt;ablt
чай;nomn;nomn
вареньем;ablt;ablt
кофе;nomn;gent
день;accs;accs
кофе;accs;gent
сахаром;ablt;ablt
молоком;ablt;ablt
блюдо;nomn;nomn
вареники;nomn;nomn
блюдо;nomn;nomn
Вареники;nomn;nomn
творогом;ablt;ablt
Русские;nomn;nomn
вареники;nomn;nomn
сметаной;ablt;ablt
семья;nomn;nomn
дедушка;nomn;nomn
мама;nomn;nomn
папа;nomn;nomn
собака;nomn;nomn
ребёнок;nomn;nomn
семье;loct;loct
брата;gent;gent
сестры;gent;gent
сожалению;datv;datv
бабушки;nomn;gent
Мама;nomn;nomn
поваром;ablt;ablt
ресторане;loct;loct
папа;nomn;nomn
тренером;ablt;ablt
семья;nomn;nomn
родители;nomn;nomn
брат;nomn;nomn
семья;nomn;nomn
Брата;gent;gent
Адем;nomn;nomn
менеджером;ablt;ablt
жена;nomn;nomn
дети;nomn;nomn
жена;nomn;nomn
администратором;ablt;ablt
гостинице;loct;loct
сестра;nomn;nomn
мужем;ablt;ablt
Осаке;datv;datv
врачом;ablt;ablt
врачом;ablt;ablt
родители;nomn;nomn
бабушки;nomn;gent
дедушки;nomn;gent
деревне;loct;loct
севере;loct;loct
пенсионеры;nomn;nomn
мама;nomn;nomn
папа;nomn;nomn
брат;nomn;nomn
бабушка;nomn;nomn
Севильи;gent;gent
родители;nomn;nomn
братом;ablt;ablt
бабушкой;ablt;ablt
гидом;ablt;ablt
брат;nomn;nomn
университете;loct;loct
программистом;ablt;ablt
Кристианом;ablt;ablt
братья;nomn;nomn
сестры;gent;gent
деревне;loct;loct
жизнь;accs;accs
Кристианом;ablt;ablt
парк;nomn;nomn
телевизор;accs;accs
семья;nomn;nomn
семья;nomn;nomn
муж;nomn;nomn
сын;nomn;nomn
дочь;nomn;nomn
муж;nomn;nomn
программистом;ablt;ablt
сын;nomn;nomn
студент;nomn;nomn
университете;loct;loct
программистом;ablt;ablt
отец;nomn;nomn
дочь;nomn;nomn
студенткой;ablt;ablt
школе;loct;loct
классе;loct;loct
дочь;nomn;nomn
химией;ablt;ablt
физикой;ablt;ablt
пианино;nomn;nomn
певицей;ablt;ablt
пианисткой;ablt;ablt
наукой;ablt;ablt
мама;nomn;nomn
пенсии;loct;gent
учительницей;ablt;ablt
школе;loct;loct
химию;accs;accs
дочь;nomn;nomn
химию;accs;accs
химию;accs;accs
преподавателем;ablt;ablt
мама;nomn;nomn
филология;nomn;nomn
преподавателем;ablt;ablt
языка;gent;gent
член;nomn;nomn
семьи;gent;gent
собака;nomn;nomn
Роник;nomn;nomn
времени;gent;gent
Муж;nomn;nomn
дети;nomn;nomn
мама;nomn;nomn
обеды;accs;accs
ужины;nomn;nomn
танцы;nomn;nomn
программа;nomn;nomn
долголетие;nomn;nomn
пенсионеры;nomn;nomn
спортом;ablt;ablt
рисованием;ablt;ablt
языки;accs;accs
мама;nomn;nomn
йогой;ablt;ablt
язык;accs;accs
природа;nomn;nomn
страна;nomn;nomn
летом;ablt;ablt
язык;accs;accs
день;accs;accs
фильмы;nomn;nomn
пиццу;accs;accs
Хуаниты;nomn;nomn
день;accs;accs
рождения;gent;gent
подарок;accs;accs
подарок;accs;accs
дерево;nomn;nomn
мире;loct;loct
лет;gent;gent
дерево;nomn;nomn
дуб;nomn;nomn
городе;loct;loct
Калининграда;gent;gent
лет;gent;gent
Евангелие;nomn;nomn
книга;nomn;nomn
Её;gent;gent
монах;nomn;nomn
ом;gent;gent
году;loc2;loc2
лет;gent;gent
книге;loct;loct
черепаха;nomn;nomn
острове;loct;loct
Елены;gent;gent
лет;gent;gent
году;loc2;loc2
лет;gent;gent
Джонатану;datv;datv
Нану;accs;accs
ом;gent;gent
году;loc2;loc2
ом;gent;gent
году;loc2;loc2
лет;gent;gent
Танака;nomn;nomn
году;loc2;loc2
лет;gent;gent
город;nomn;nomn
мире;loct;loct
Палестине;loct;loct
лет;gent;gent
город;nomn;nomn
город;nomn;nomn
лет;gent;gent
карте;loct;loct
город;nomn;nomn
собор;nomn;nomn
собор;nomn;nomn
ом;gent;gent
году;loc2;loc2
лет;gent;gent
собору;datv;datv
ом;gent;gent
году;loc2;loc2
лет;gent;gent
город;nomn;nomn
Пётр;nomn;nomn
году;loc2;loc2
лет;gent;gent
Возраст;nomn;nomn
помеха;nomn;nomn
жизнь;accs;accs
профессию;accs;accs
лет;gent;gent
дедушка;nomn;nomn
лет;gent;gent
профессию;accs;accs
диджеем;ablt;ablt
жизнь;accs;accs
директором;ablt;ablt
доме;loct;loct
культуры;gent;gent
жизнь;accs;accs
музыку;accs;accs
диджеем;ablt;ablt
Прибалтике;loct;loct
день;accs;accs
праздник;nomn;nomn
года;gent;gent
спортом;ablt;ablt
марафоны;accs;accs
Книге;loct;loct
рекордов;gent;gent
марафоны;accs;accs
стран;gent;gent
континенты;nomn;nomn
лет;gent;gent
писателем;ablt;ablt
книг;gent;gent
книги;gent;gent
здоровье;accs;accs
жизнь;accs;accs
любом;loct;loct
возрасте;loct;loct
пенсионерка;nomn;nomn
году;loc2;loc2
инженером;ablt;ablt
пенсионеркой;ablt;ablt
спортом;ablt;ablt
лет;gent;gent
прыжки;nomn;nomn
воду;accs;accs
чемпионка;nomn;nomn
неё;gent;gent
медали;accs;accs
чемпионаты;accs;accs
видео;gent;gent
страницу;accs;accs
Ясень;nomn;nomn
звезда;nomn;nomn
аптеке;loct;loct
курьером;ablt;ablt
детском;loct;loct
саду;loc2;loc2
года;gent;gent
фотомоделью;ablt;ablt
фотосессии;gent;gent
интервью;loct;loct
шоу;nomn;nomn
модель;nomn;nomn
инстаграм;nomn;nomn
лет;gent;gent
жизнь;accs;accs
выходные;accs;accs
праздники;accs;accs
подарки;accs;accs
магазине;loct;loct
Интернете;loct;loct
маме;datv;datv
время;accs;accs
книги;accs;gent
маме;datv;datv
книгу;accs;accs
идея;nomn;nomn
книгу;accs;accs
кухня;nomn;nomn
рецепты;accs;accs
подарок;accs;accs
человеку;datv;datv
человеку;datv;datv
интересы;accs;accs
человека;gent;gent
человека;gent;gent
подарок;accs;accs
цветы;accs;accs
шоколад;nomn;nomn
книгу;accs;accs
книга;nomn;nomn
подарок;accs;accs
человеку;datv;datv
история;nomn;nomn
роман;nomn;nomn
человек;nomn;nomn
искусство;nomn;nomn
книгу;accs;accs
художнике;loct;loct
язык;accs;accs
книгу;accs;accs
русском;loct;loct
языке;loct;loct
книгу;accs;accs
книги;accs;gent
Утром;ablt;n/a
работу;accs;accs
кафе;loct;loct
часов;gent;gent
утра;gent;gent
обеда;gent;gent
университет;nomn;nomn
университет;nomn;nomn
лекция;nomn;nomn
экзамен;accs;accs
экзамен;accs;accs
гости;nomn;nomn
Софии;datv;gent
пятницу;accs;accs
гостиницу;accs;accs
Монмартра;gent;gent
гостинице;loct;loct
чемодан;nomn;nomn
коллеге;datv;datv
кафе;loct;loct
моде;loct;loct
января;gent;gent
праздник;nomn;nomn
год;accs;accs
год;accs;accs
мире;loct;loct
Люди;nomn;nomn
шампанское;nomn;nomn
еду;accs;accs
друг;nomn;nomn
годом;ablt;ablt
год;accs;accs
ночь;accs;accs
салат;nomn;nomn
оливье;nomn;nomn
селёдку;accs;accs
шубой;ablt;ablt
бутерброды;accs;accs
икрой;ablt;ablt
шампанское;nomn;nomn
друг;nomn;nomn
подарки;accs;accs
городе;loct;loct
площади;loct;loct
ёлка;nomn;nomn
Дед;nomn;nomn
внучка;nomn;nomn
Снегурочка;nomn;nomn
праздником;ablt;ablt
ёлка;nomn;nomn
Дед;nomn;nomn
Снегурочка;nomn;nomn
подарки;accs;accs
Дети;nomn;nomn
Деда;gent;gent
Мороза;gent;gent
Снегурочку;accs;accs
письма;gent;gent
подарки;accs;accs
год;accs;accs
подарки;accs;accs
часов;gent;gent
президент;nomn;nomn
телевизору;datv;datv
счастья;gent;gent
здоровья;gent;gent
шампанское;nomn;nomn
салют;accs;accs
ночью;ablt;n/a
люди;nomn;nomn
улице;loct;loct
друг;nomn;nomn
годом;ablt;ablt
праздник;nomn;nomn
год;accs;accs
календарь;nomn;nomn
января;gent;gent
января;gent;gent
календарь;nomn;nomn
традиции;datv;datv
год;accs;accs
раза;gent;gent
января;gent;gent
Рождество;nomn;nomn
день;accs;accs
люди;nomn;nomn
церковь;accs;nomn
ужин;nomn;nomn
друг;nomn;nomn
Рождеством;ablt;ablt
семьёй;ablt;ablt
